Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE,PG,XOM
11/9/09,-6.40E-05,0.691244756,-1.3471875,-0.971754695,0.490890656,0.868683305,-0.848982269,0.093575102,1.893262815,-0.240976021,-0.628756149
11/10/09,0.005019358,-0.308484823,2.375486297,-0.281718829,0.029208207,-0.491805525,1.017500793,-0.182498886,-1.037555769,-0.270818654,-0.849312811
11/11/09,-0.010312359,0.565875585,-1.763359853,-1.247446244,0.457767989,1.293984073,-1.104694958,0.376897814,0.281905447,0.710361945,0.428708201
11/12/09,0.005722887,-0.770463764,1.273157236,0.037233866,-0.633438554,0.359069324,0.994382495,1.422883548,-0.149195216,-1.332402427,-1.201226508
11/13/09,0.014363977,0.002036888,1.989501862,-0.621675858,0.247110433,-0.292205232,-0.198637118,0.598346151,-1.988418986,-0.115851907,0.379793769
11/16/09,9.19E-04,0.315303182,-1.09429651,-1.54190603,0.210747848,0.870651307,0.129216303,-1.250984404,0.95557573,-0.018405013,1.424097587
11/17/09,-4.68E-04,-0.14689715,-0.707939438,-1.012240966,0.124249978,-0.887888464,-0.314775262,2.416729972,-0.102196609,-0.184351947,0.815309887
11/18/09,-0.013516806,0.033744286,-1.384309035,-2.175424577,-0.069422357,0.389171826,0.531376425,0.747507552,0.868516284,0.391971755,0.66686784
11/19/09,-0.003220102,-0.668543022,0.169364806,0.630807611,0.050867461,-0.886316788,1.789108727,-0.26699423,-1.827515582,0.834026593,0.175194423
11/20/09,0.013523914,0.092167823,1.806237066,-2.018701384,0.275514284,-0.271940286,1.007956356,-0.124126073,-0.668871799,-0.15011279,0.051876802
11/23/09,-5.33E-04,0.248508604,-1.878009197,-1.492785972,0.194383509,1.028176351,-0.298579812,0.04432971,1.254207942,0.352316971,0.547451894
11/24/09,0.004494007,-0.614497529,1.348237186,0.439414676,-0.860623306,-1.721655967,1.217756051,-0.717847386,0.873459425,-0.25136771,0.287124559
11/25/09,0,0.624510422,-2.382486368,-0.811359148,0.415561632,0.803276521,0.276008164,-0.518181508,0.519990467,0.170899441,0.901780377
11/26/09,-0.0173837,0,0.025220382,-3,0,0.987151255,0,0,0,0,0
11/27/09,0.003785819,-0.735850414,1.739967753,1.572973038,-0.609926249,0.769937634,-0.189973557,-0.832911392,-0.613539569,-0.176192339,-0.924484906
11/30/09,0.012002902,-0.079041026,0.951769369,2.112382969,-0.122975975,-1.63589632,-0.576595322,0.213700922,0.053554061,-0.716418363,-0.200480313
12/1/09,3.43E-04,-0.065867186,-0.693573037,-1.330411503,-0.038911908,2.166145595,-0.282108463,1.201950812,-0.481118403,-0.539580764,0.063474859
12/2/09,-0.008437597,-0.293547661,0.579324106,2.552158594,-0.457457692,-0.252767821,0.123335266,-0.906434847,-0.792767515,0.019002218,-0.570844648
12/3/09,0.005494312,-0.847784589,0.189675432,1.401331769,-0.826049315,0.278731213,1.380780338,0.911758211,-0.139439543,-1.123044422,-1.225959093
