date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
20100420,-0.017535,0.011963,0.006135,0.018443,-0.016933,-0.020451,0.010795,0.008436,0.021096,0.030108,0.050609,0.022439,0.009513,0.009987,0.020291
20100421,0.057457,-0.017732,-0.013937,-0.008048,-0.007046,-0.006563,-0.011552,-0.021612,-0.014058,0.040394,0.017073,0.020254,0.003141,-0.009782,-0.020184
20100422,0.026127,0.014223,-0.002208,-0.01217,-0.040607,0.000755,-0.013451,0.007553,0.008425,0.006944,0.016786,0.000296,0.002479,0.021583,0.017268
20100423,0.002929,-0.005933,-0.003984,-0.002053,-0.011917,-0.010374,0.00447,0,0.008997,0.001254,0.020047,0.004887,-0.00052,0.015241,-0.002978
20100426,-0.160413,-0.020619,0.011556,-0.05144,-0.010189,-0.034117,-0.023364,-0.002546,-0.00552,-0.031309,0.026012,-0.029477,-0.003646,-0.006108,-0.0227
20100427,0.057265,-0.032133,-0.051845,-0.058568,-0.033823,0.006643,-0.033721,-0.040414,-0.054227,-0.032644,-0.053521,-0.015945,-0.030711,-0.031771,-0.030562
20100428,0.018223,0.017745,-0.004634,0.025346,0.011524,0.025941,0.024758,0.011641,-0.008804,0.015035,-0.006548,0.003086,-0.000944,0.007101,0.023014
20100429,-0.03306,0.029246,0.039572,0.024719,0.009243,0.020572,0.012425,0.01315,0.038943,0.032311,0.046734,0.016154,0.018758,-0.008439,0.024037
20100430,0.016452,-0.025683,-0.085535,-0.041667,-0.026624,-0.093859,-0.032273,-0.003097,-0.000877,-0.034813,-0.06411,-0.002422,-0.013644,-0.027903,-0.003611
20100503,-0.032625,0.0129,0.011753,0.009153,0.021007,0.029614,0.022311,0.006362,0.003949,0.006949,0.029969,0.004705,0.006044,-0.01064,0.023256
20100504,-0.014379,-0.027685,-0.049371,-0.034014,-0.042595,-0.000334,-0.024351,-0.035872,-0.027972,-0.030891,-0.084917,-0.039728,-0.026298,-0.010082,-0.027745
20100505,-0.025199,-0.001708,-0.00611,-0.018779,-0.022186,-0.008431,0.003767,-0.005642,-0.013264,-0.006782,-0.015574,-0.027843,-0.020291,-0.021953,-0.006982
20100506,0.053061,-0.071306,-0.106045,-0.033493,-0.057081,-0.039611,-0.042693,-0.03067,-0.039645,-0.056333,-0.087014,0.001295,-0.040582,-0.040611,-0.045315
20100507,0.058915,-0.006143,-0.048138,-0.009901,0.018744,0.004708,-0.001225,0.022465,-0.034164,0.00398,-0.041877,-0.012282,0.003209,-0.007598,-0.011546
20100510,0.046608,0.069221,0.17941,0.055,0.07633,0.005875,0.029195,0.044252,0.083518,0.04,0.151469,0.047775,0.047398,0.044963,0.06976
20100511,-0.03474,-0.008092,-0.010209,-0.011848,-0.010164,-0.012932,-0.009535,-0.01941,-0.01995,-0.016632,-0.032723,0.003904,0.001527,-0.021281,-0.00182
20100512,-0.018116,-0.005245,0.016528,0.002398,0.029172,0.036839,0.003369,0.005591,0.014111,-0.020437,-0.020974,0.007777,0.018572,0.019546,0.022789
20100513,-0.022878,-0.011716,-0.02799,-0.021531,-0.026077,-0.017323,-0.021108,-0.003757,-0.017564,-0.006475,-0.013131,-0.008489,-0.009117,0.000584,-0.017231
20100514,-0.018127,-0.031417,-0.050262,-0.026895,-0.041444,-0.009817,-0.022544,-0.02368,-0.040632,-0.019551,-0.036415,-0.025996,-0.026504,-0.098799,-0.031439
20100517,-0.031282,0.000612,-0.022602,-0.030151,0.009473,-0.004119,-0.001253,0.005253,0.011617,0.001108,-0.005814,-0.015023,-0.014388,-0.033005,-0.002185
20100518,-0.011911,-0.024465,-0.030457,-0.033679,-0.02743,-0.037016,-0.020582,-0.003996,-0.021292,-0.014017,-0.034357,0.001298,-0.005152,-0.061839,-0.043165
20100519,-0.067506,0.022571,-0.011635,0.021448,-0.00099,0.019948,0.009226,0.001389,-0.009533,0.011598,0.001514,-0.000162,0.001151,0.04109,-0.016672
20100520,0.033036,-0.061925,-0.036492,-0.047244,-0.042843,-0.028551,-0.03936,-0.034206,-0.065153,-0.051775,-0.047619,-0.025122,-0.054318,-0.002056,-0.04621
20100521,-0.039766,0.045098,0.047037,0.033058,0.035187,0.033211,0.058684,0.028239,0.042239,0.057332,0.038095,0.015628,0.025072,0.018951,0.049495
20100524,-0.001158,-0.036898,-0.009335,0.008,-0.033742,-0.027948,-0.035705,-0.003413,-0.022036,-0.050166,-0.017584,-0.017024,-0.013045,0.004717,-0.046496
20100525,-0.012757,0.005844,-0.008245,0,0.008277,0.042944,0.008286,-0.000311,0.01554,0.013981,-0.019455,-0.010824,0.011114,-0.021194,0.006618
