Date,Lag Ret,Ret
2008-05-20,-0.041474,0.012527
2008-05-21,-0.006398,-0.041474
2008-05-22,0.02327,-0.006398
2008-05-23,0.029033,0.02327
2008-05-27,0.003111,0.029033
2008-05-28,-0.001711,0.003111
2008-05-29,0.011034,-0.001711
2008-05-30,-0.01404,0.011034
2008-06-02,-0.003923,-0.01404
2008-06-03,-0.000971,-0.003923
2008-06-04,0.022895,-0.000971
2008-06-05,-0.020007,0.022895
2008-06-06,-0.021709,-0.020007
2008-06-09,0.02219,-0.021709
2008-06-10,-0.026018,0.02219
2008-06-11,-0.041757,-0.026018
2008-06-12,-0.005137,-0.041757
2008-06-13,0.025933,-0.005137
2008-06-16,0.025956,0.025933
2008-06-17,-0.014771,0.025956
2008-06-18,0.012028,-0.014771
2008-06-19,-0.031122,0.012028
2008-06-20,-0.012039,-0.031122
2008-06-23,0.00052,-0.012039
2008-06-24,0.023896,0.00052
2008-06-25,-0.051469,0.023896
2008-06-26,0.010876,-0.051469
2008-06-27,-0.01558,0.010876
2008-06-30,0.043239,-0.01558
2008-07-01,-0.037211,0.043239
2008-07-02,0.011535,-0.037211
2008-07-03,0.029626,0.011535
2008-07-07,0.025063,0.029626
2008-07-08,-0.029518,0.025063
2008-07-09,0.013659,-0.029518
2008-07-10,-0.022929,0.013659
2008-07-11,0.007533,-0.022929
2008-07-14,-0.024385,0.007533
2008-07-15,0.018687,-0.024385
2008-07-16,-0.005787,0.018687
2008-07-17,-0.038764,-0.005787
2008-07-18,0.006903,-0.038764
2008-07-21,-0.025678,0.006903
2008-07-22,0.02617,-0.025678
2008-07-23,-0.043486,0.02617
2008-07-24,0.01943,-0.043486
2008-07-25,-0.047619,0.01943
2008-07-28,0.017358,-0.047619
2008-07-29,0.017825,0.017358
2008-07-30,-0.005817,0.017825
2008-07-31,-0.014407,-0.005817
2008-08-01,-0.021895,-0.014407
2008-08-04,0.048359,-0.021895
2008-08-05,0.022099,0.048359
2008-08-06,-0.003776,0.022099
2008-08-07,0.036559,-0.003776
2008-08-08,0.023651,0.036559
2008-08-11,0.018265,0.023651
2008-08-12,0.014542,0.018265
2008-08-13,0.000112,0.014542
2008-08-14,-0.019964,0.000112
2008-08-15,-0.001992,-0.019964
2008-08-18,-0.010605,-0.001992
2008-08-19,0.013312,-0.010605
2008-08-20,-0.008815,0.013312
2008-08-21,0.014344,-0.008815
2008-08-22,-0.023983,0.014344
2008-08-25,0.006317,-0.023983
2008-08-26,0.005932,0.006317
2008-08-27,-0.005324,0.005932
2008-08-28,-0.024232,-0.005324
2008-08-29,-0.019702,-0.024232
2008-09-02,0.004633,-0.019702
2008-09-03,-0.03438,0.004633
2008-09-04,-0.006451,-0.03438
2008-09-05,-0.014109,-0.006451
2008-09-08,-0.039514,-0.014109
2008-09-09,-0.000461,-0.039514
2008-09-10,0.00686,-0.000461
2008-09-11,-0.024304,0.00686
2008-09-12,-0.057607,-0.024304
2008-09-15,-0.00342,-0.057607
2008-09-16,-0.086145,-0.00342
2008-09-17,0.048971,-0.086145
2008-09-18,0.050861,0.048971
2008-09-19,-0.069974,0.050861
2008-09-22,-0.032125,-0.069974
2008-09-23,0.014743,-0.032125
2008-09-24,0.025017,0.014743
2008-09-25,-0.027969,0.025017
2008-09-26,-0.179195,-0.027969
2008-09-29,0.079802,-0.179195
2008-09-30,-0.039944,0.079802
2008-10-01,-0.082661,-0.039944
2008-10-02,-0.03027,-0.082661
2008-10-03,0.011023,-0.03027
2008-10-06,-0.091502,0.011023
2008-10-07,0.007066,-0.091502
2008-10-08,-0.011694,0.007066
2008-10-09,0.090827,-0.011694
2008-10-10,0.13905,0.090827
2008-10-13,-0.056049,0.13905
2008-10-14,-0.058897,-0.056049
2008-10-15,0.040225,-0.058897
2008-10-16,-0.044067,0.040225
2008-10-17,0.010678,-0.044067
2008-10-20,-0.070601,0.010678
2008-10-21,0.058804,-0.070601
2008-10-22,0.014039,0.058804
2008-10-23,-0.018833,0.014039
2008-10-24,-0.044511,-0.018833
2008-10-27,0.084917,-0.044511
2008-10-28,0.046442,0.084917
2008-10-29,0.062076,0.046442
2008-10-30,-0.03107,0.062076
2008-10-31,-0.005856,-0.03107
2008-11-03,0.037678,-0.005856
2008-11-04,-0.069285,0.037678
2008-11-05,-0.040658,-0.069285
2008-11-06,-0.008678,-0.040658
2008-11-07,-0.024023,-0.008678
2008-11-10,-0.011577,-0.024023
2008-11-11,-0.049066,-0.011577
2008-11-12,0.070129,-0.049066
2008-11-13,-0.064289,0.070129
2008-11-14,-0.023271,-0.064289
2008-11-17,0.020082,-0.023271
2008-11-18,-0.040263,0.020082
2008-11-19,-0.067215,-0.040263
2008-11-20,0.025966,-0.067215
2008-11-21,0.125575,0.025966
2008-11-24,-0.023131,0.125575
2008-11-25,0.046255,-0.023131
2008-11-26,-0.024526,0.046255
2008-11-28,-0.040358,-0.024526
2008-12-01,0.039807,-0.040358
2008-12-02,0.037093,0.039807
2008-12-03,-0.04682,0.037093
2008-12-04,0.028334,-0.04682
2008-12-05,0.060851,0.028334
2008-12-08,0.00341,0.060851
2008-12-09,-0.018489,0.00341
2008-12-10,-0.032685,-0.018489
2008-12-11,0.034421,-0.032685
2008-12-12,-0.03582,0.034421
2008-12-15,0.007177,-0.03582
2008-12-16,-0.065703,0.007177
2008-12-17,0.003028,-0.065703
2008-12-18,0.006374,0.003028
2008-12-19,-0.047333,0.006374
2008-12-22,0.007464,-0.047333
2008-12-23,-0.015513,0.007464
2008-12-24,0.009055,-0.015513
2008-12-26,0.009323,0.009055
2008-12-29,-0.003695,0.009323
2008-12-30,-0.010894,-0.003695
2008-12-31,0.063269,-0.010894
2009-01-02,0.042204,0.063269
2009-01-05,-0.016494,0.042204
2009-01-06,-0.021608,-0.016494
2009-01-07,0.018569,-0.021608
2009-01-08,-0.022869,0.018569
2009-01-09,-0.021197,-0.022869
2009-01-12,-0.010715,-0.021197
2009-01-13,-0.027135,-0.010715
2009-01-14,-0.022853,-0.027135
2009-01-15,-0.012593,-0.022853
2009-01-16,-0.050164,-0.012593
2009-01-20,0.059207,-0.050164
2009-01-21,0.066763,0.059207
2009-01-22,0,0.066763
2009-01-23,0.014486,0
2009-01-26,0.01216,0.014486
2009-01-27,0.038245,0.01216
2009-01-28,-0.012739,0.038245
2009-01-29,-0.03086,-0.012739
2009-01-30,0.015311,-0.03086
2009-02-02,0.016064,0.015311
2009-02-03,0.00613,0.016064
2009-02-04,0.031106,0.00613
2009-02-05,0.033796,0.031106
2009-02-06,0.027978,0.033796
2009-02-09,-0.045654,0.027978
2009-02-10,-0.010324,-0.045654
2009-02-11,0.025305,-0.010324
2009-02-12,-0.001108,0.025305
2009-02-13,-0.046692,-0.001108
2009-02-17,-0.001693,-0.046692
2009-02-18,-0.039525,-0.001693
2009-02-19,0.006178,-0.039525
2009-02-20,-0.046601,0.006178
2009-02-23,0.037953,-0.046601
2009-02-24,0.010083,0.037953
2009-02-25,-0.02161,0.010083
2009-02-26,0.001345,-0.02161
2009-02-27,-0.01534,0.001345
2009-03-02,0.00489,-0.01534
2009-03-03,0.031685,0.00489
2009-03-04,-0.025557,0.031685
2009-03-05,-0.039847,-0.025557
2009-03-06,-0.025674,-0.039847
2009-03-09,0.066388,-0.025674
2009-03-10,0.045725,0.066388
2009-03-11,0.039599,0.045725
2009-03-12,-0.004359,0.039599
2009-03-13,-0.005316,-0.004359
2009-03-16,0.044435,-0.005316
2009-03-17,0.018663,0.044435
2009-03-18,0.000985,0.018663
