Date,Lead_GOOG,AMZN,CSCO,EBAY,FB,GOOG,IBM,INTC,MSFT,AAPL
2015-02-18,0.005874,-0.834048907,0.460594911,0.734042212,1.411648187,-0.867116435,0.627713966,-1.729655621,-0.350839914,0.547661601
2015-02-19,-0.007221,0.575938347,-1.083795889,0.428225215,2.16463856,-0.1446728,0.216612824,-0.731056301,-0.659238239,-0.766651717
2015-02-20,-0.013063,1.142991031,0.80097871,0.17153752,0.099474172,-2.077597507,-1.128241223,0.077212039,0.45896639,0.454678868
2015-02-23,0.007859,-0.475366277,0.23827482,0.251823134,-0.767343294,-0.75705527,-0.138252366,-1.179226506,0.676747503,2.150398256
2015-02-24,0.014512,-0.830353075,-0.359082014,0.297830775,-0.930918644,0.54936029,1.00329246,1.866538054,-0.516172368,-1.080495478
2015-02-25,0.021347,1.313658336,-0.226025241,0.037164463,1.057883385,1.082576551,-0.738255396,-0.823899189,-0.058887194,-1.644215715
2015-02-26,0.005257,-0.552721502,0.873058126,-0.12329166,0.550373569,1.51742962,-1.499281007,-1.20670642,-0.284543246,0.72568252
2015-02-27,0.023173,-0.440483369,-0.590294296,-0.292837009,-1.106942629,1.532122119,1.690933095,-0.421002252,0.403128738,-0.774624396
2015-03-02,0.004026,0.297496625,1.051736921,-0.259072824,-0.10443117,1.06315283,-1.763513941,1.167476671,-0.911711534,-0.541133579
2015-03-03,-4.71E-04,0.090212612,-2.101127166,0.156465127,0.186738684,0.874530612,0.804784994,0.525453212,-1.186399998,0.649341922
2015-03-04,0.003418,-0.403913396,-0.687450782,0.352789115,2.332383851,0.17000761,-1.060635069,0.325533357,-0.440728045,-0.587986642
2015-03-05,-0.013288,1.093381671,-0.279900018,1.079338373,0.189833969,0.144360433,0.872510209,-1.274108195,-0.060174948,-1.765241493
2015-03-06,0.002052,-0.851914816,-0.195210941,2.205822465,-0.382277049,-0.240073779,-0.546407145,-0.489801069,-0.61705006,1.116912393
2015-03-09,-0.02433,-0.756560217,1.001421009,1.054721111,-1.03661629,-0.196171426,0.935303062,-1.691248514,0.681251537,0.007899727
2015-03-10,-0.006901,-0.104458805,-0.087951735,-0.704129724,-0.075055586,-0.213818147,1.312827947,-1.979042994,1.125575867,0.726053177
2015-03-11,0.007856,-0.474884401,-0.948246521,0.942947439,0.284367975,-0.336404953,-0.292962121,1.98531528,0.158808651,-1.318941348
2015-03-12,-0.014743,0.97540552,-0.017420353,-0.184449916,0.798755984,0.365767748,0.350957466,-2.103254041,-1.008948648,0.823186239
2015-03-13,0.013137,-0.215722641,-0.303396075,0.206212263,-0.358100971,-0.731883087,-1.634409854,1.240405185,1.714132937,0.082762243
2015-03-16,-0.006618,-0.086080829,0.717923687,0.061047539,-1.158928999,0.755374545,1.500230484,-1.677445035,-0.550501182,0.438379788
2015-03-17,0.015721,-0.538499776,-0.695448028,-0.272968956,1.641479423,-0.836167618,-0.211150563,-0.960765312,0.217200722,1.656320108
2015-03-18,-0.002699,-0.061620533,-0.781306914,-2.271800388,0.839486096,0.527599795,0.730417475,0.03520909,0.826164738,0.155850641
2015-03-19,0.004247,-0.428742175,0.494505234,-0.87820704,2.43507649,-0.186286689,0.091820985,-0.408546138,-0.429463462,-0.690157206
2015-03-20,-0.002766,0.538616489,-0.223482003,-0.760030233,0.402276406,-0.433586329,1.047936308,0.981895033,0.539111551,-2.092737222
2015-03-23,0.020365,-1.519448274,-0.506370666,1.222927413,0.644871831,-0.708354577,1.069367007,-0.806649027,-0.421103192,1.024759485
2015-03-24,-0.020002,-0.243211633,-1.165533025,1.187709379,0.807238816,1.601910736,-0.817274571,-1.076250332,0.058047516,-0.352636885
2015-03-25,-0.006469,2.097486863,0.592605236,-0.107532016,-0.610445567,0.493924474,0.037594859,-0.777899654,-1.37549712,-0.350237076
2015-03-26,-0.012302,-0.875169647,-1.324375661,-0.833885418,0.422883318,-0.483689546,1.340497312,1.055588128,-0.431004149,1.129155664
2015-03-27,0.006729,0.129227985,-0.190897852,-0.167839621,-0.101971559,-0.798391847,-0.308172983,2.558145845,-0.512787224,-0.607312743
2015-03-30,-0.0073,0.310966532,0.97593717,-0.150631514,-0.662270766,-0.021518788,0.573763056,-1.91442363,-0.580713224,1.468891164
2015-03-31,-0.009927,0.187689203,1.965402822,0.629694534,-0.751000644,0.068272786,-1.036283356,0.298876312,0.04157325,-1.404224906
2015-04-01,-0.012957,0.434775821,-0.587653853,-0.495019652,0.082928375,-0.574652561,-0.228696326,-1.546499086,1.766798745,1.148018537
2015-04-02,0.002306,0.865841249,-0.413733107,-0.341469564,-0.014258147,-1.531400537,1.204290757,0.161761732,-1.218171398,1.287139015
2015-04-06,4.75E-04,0.269785964,-0.724363806,-1.234189538,0.059943441,-0.829597333,-0.038107976,-0.292604488,2.172628801,0.616504934
2015-04-07,0.008547,-1.182025716,1.085222708,0.798986882,-0.235509525,0.095659666,0.045924262,1.229798382,-0.047715499,-1.79034116
2015-04-08,-0.001532,2.202673116,0.415683422,-0.357084593,-0.513062788,0.808899653,-0.630809607,-0.201106399,-0.818623052,-0.906569751
2015-04-09,-0.001424,1.262739403,0.31711468,-0.920748762,-0.789296687,-0.860142437,0.40152075,-1.05496825,-0.035176883,1.678958186
2015-04-10,-0.001556,-0.977294613,1.149870593,0.01723852,-0.886659518,-0.867281514,-0.299800344,2.016239079,0.016993229,-0.169305431
2015-04-13,-0.016284,0.06117017,-0.192187996,-1.078758248,2.367792773,-0.085124921,-0.340133032,-0.948229294,0.375942941,-0.160472393
2015-04-14,0.004035,1.37543947,-0.477012827,0.395879226,1.22074267,-1.902233888,0.30247475,-0.684764486,0.003552504,-0.234077419
2015-04-15,0.002385,-0.862172796,0.462438336,-0.503517159,-1.216749062,-0.313102664,0.163262555,2.221239258,0.377166329,-0.328564795
2015-04-16,-0.018265,1.023630018,1.957038802,-0.036994019,-0.886255214,0.299927626,-1.104409494,0.106620075,-0.467505009,-0.892052784
2015-04-17,0.02162,-1.657601345,-1.083505367,-0.702331504,-0.131109598,-0.062131859,0.509988195,1.032889757,0.896730573,1.197071148
