<<<<<<< HEAD
Date,Lag_.GSPC,X.GSPC,X.HSI,X.N225,X.DJI,X.GDAXI,JNJ,MSFT,GE
2013-12-23,0.002911504,0.353319962,1.467782958,-0.425154985,0.20476084,1.125787564,-0.773873562,-1.578577379,-0.374045396
2013-12-24,0,-0.064625601,0,-3,0.077052235,0,-0.452831707,1.372471912,0.644546718
2013-12-25,0.004734305,0,0,-3,0,0,0,0,0
2013-12-26,-3.37E-04,-0.010240605,-0.442957473,-3,0.580313475,0,0.091123335,1.061042958,0.685976677
2013-12-27,-1.79E-04,-0.354296875,-0.270345017,1.143847089,-0.303231552,1.891380068,-0.709054474,-1.113489195,-0.284810045
2013-12-30,0.003951856,0.127663981,1.037920129,-1.864497614,0.691570264,-1.069044366,0.010893322,0.185479682,0.880014602
2013-12-31,-0.008901413,0.616316944,0.255882086,-3,0.677170431,0,-1.061011005,0.510181156,0.767921605
2014-01-02,-3.33E-04,0.654695595,-0.815794943,-1.864497614,0.730106155,-0.110098241,0.950789669,0.889556047,-0.434756669
2014-01-03,-0.002514927,0.258415897,-0.303137822,-2.124846277,0.469406084,0.671666158,1.204793928,-0.394588692,0.218290724
2014-01-06,0.006063345,0.230880775,0.703266297,-0.199883477,0.204060855,0.450647837,1.197513278,-2.126441749,-0.460043816
2014-01-07,-2.12E-04,-0.616320526,0.313010514,1.309406903,-0.563708066,-0.295046108,1.568908746,-0.37409381,-1.342157654
2014-01-08,3.48E-04,0.913442514,-0.389761237,-1.254990613,0.34104254,0.816002667,0.743061936,-1.684706121,0.515908314
2014-01-09,0.00230403,0.188878311,0.667032052,0.54155463,-0.119545785,-1.610382413,1.406043199,-1.266599773,0.193019779
2014-01-10,-0.012655966,0.297729174,0.253493249,-1.864497614,0.022126149,0.611898925,0.079208819,1.485250264,-0.885208967
2014-01-13,0.010759876,-0.050195133,0.617514296,-1.530834643,0.085083585,1.266972334,0.755354545,-1.419129696,0.275234712
2014-01-14,0.005152889,0.022787046,-0.666105303,1.651523935,-0.403008402,-0.859610488,-0.959768788,1.403530613,-0.189348614
2014-01-15,-0.001348028,-0.384417115,-0.526795326,-1.25886842,-0.246658343,1.05540034,-0.800635427,1.727967341,0.434006949
2014-01-16,-0.003902781,-0.201536516,1.837641207,-0.05925788,-0.888082156,-0.282713809,-0.291637264,1.08706848,-1.201482061
2014-01-17,0,0.197671622,-0.330108117,-0.015818944,0.880244399,0.887379205,1.081951073,-0.865762037,-1.835557201
2014-01-20,0.002769912,0,0.904959886,-3,0,0.168636555,0,0,0
2014-01-21,5.75E-04,0.963379295,0.852819052,0.757789823,0.019874911,0.737213249,-1.400333519,-0.517231733,-1.413511078
2014-01-22,-0.008929325,0.911436354,-1.603363728,-0.444884111,0.42035953,0.655840437,1.310586623,-0.240994283,-1.008980822
2014-01-23,-0.021096421,0.168989776,-0.348521139,-1.347450633,-0.098330402,0.129630656,-0.964967151,1.954659038,0.505989854
2014-01-24,-0.004888222,-0.144288459,-0.158916076,-0.404274161,-0.06835178,-0.388747686,-0.273898848,2.38132508,-0.942848069
