Date,Lag_GSPC,GSPC
8/26/92,4.83E-05,0.004616081
8/27/92,0.00316784,4.83E-05
8/28/92,-0.001952553,0.00316784
8/31/92,0.004927199,-0.001952553
9/1/92,0.004590583,0.004927199
9/2/92,0,0.004590583
9/3/92,-0.00215327,0
9/4/92,0,-0.00215327
9/7/92,-0.006329685,0
9/8/92,0.004632716,-0.006329685
9/9/92,0.008622411,0.004632716
9/10/92,-8.81E-04,0.008622411
9/11/92,0.013561185,-8.81E-04
9/14/92,-0.012932961,0.013561185
9/15/92,3.57E-04,-0.012932961
9/16/92,2.38E-05,3.57E-04
9/17/92,0.007144048,2.38E-05
9/18/92,-0.001867869,0.007144048
9/21/92,-0.011844411,-0.001867869
9/22/92,7.19E-04,-0.011844411
9/23/92,0.002467418,7.19E-04
9/24/92,-0.009845377,0.002467418
9/25/92,0.005478434,-0.009845377
9/28/92,4.32E-04,0.005478434
9/29/92,0.002399232,4.32E-04
9/30/92,-0.003614119,0.002399232
10/1/92,-0.013980657,-0.003614119
10/2/92,-0.007065057,-0.013980657
10/5/92,-9.57E-04,-0.007065057
10/6/92,-0.007195818,-9.57E-04
10/7/92,0.008658009,-0.007195818
10/8/92,-0.012483129,0.008658009
10/9/92,0.011871052,-0.012483129
10/12/92,0.004565055,0.011871052
10/13/92,1.71E-04,0.004565055
10/14/92,5.62E-04,1.71E-04
10/15/92,0.005200207,5.62E-04
10/16/92,0.007893522,0.005200207
10/19/92,0.001204877,0.007893522
10/20/92,4.57E-04,0.001204877
10/21/92,-0.001852477,4.57E-04
10/22/92,-0.001928147,-0.001852477
10/23/92,0.00980439,-0.001928147
10/26/92,7.89E-04,0.00980439
10/27/92,0.003918887,7.89E-04
10/28/92,0.00173751,0.003918887
10/29/92,-0.005179851,0.00173751
10/30/92,0.009721045,-0.005179851
11/2/92,-0.006694233,0.009721045
11/3/92,-0.006691817,-0.006694233
11/4/92,0.002948889,-0.006691817
11/5/92,-0.001816726,0.002948889
11/6/92,0.00241872,-0.001816726
11/9/92,7.17E-05,0.00241872
