Date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
2010-03-25,-0.008693,0.38491,0.442131,2.097089,-0.922807,-0.226189,-0.476163,-1.31401,-0.072769,-1.869934,-0.140313,0.660781,0.148373,1.188317,0.100585
2010-03-26,0.007016,0.362931,0.754323,0.388354,0.54373,-1.139555,-0.164389,1.676458,-0.03458,-0.445203,1.403802,-2.153547,-0.850509,-0.422986,0.081169
2010-03-29,-0.007547,0.29276,0.487706,-2.444637,1.152398,0.221051,-0.527025,0.847475,0.991108,1.177983,-1.224076,0.113236,-0.261163,-0.278892,-0.547925
2010-03-30,-0.001462,-0.83272,-1.010034,-1.330225,0.662608,-0.817737,-0.064609,0.684214,0.201858,-0.166676,-1.212098,2.032194,0.943893,1.149269,-0.239936
2010-03-31,-0.000879,0.228632,-0.151024,-2.220165,-0.188791,-1.328913,0.021652,0.568706,1.200861,-0.155477,0.395371,1.721858,-0.430076,-0.552779,0.890144
2010-04-01,0.027851,-0.278664,-0.019751,1.485385,-0.833737,-1.3514,-0.271922,0.900548,0.117229,-1.406488,2.137479,0.364796,-0.569233,0.219101,-0.493343
2010-04-05,0.024244,-0.393423,0.462396,1.177447,-0.538299,0.970181,-0.554174,0.481046,1.423902,-0.60513,0.907013,0.362926,-2.19887,-1.043198,-0.451818
2010-04-06,0.105263,1.665856,-0.652004,0.398647,-1.042599,-0.446225,0.792802,-0.681175,-0.539671,-0.061365,-1.498458,0.011711,0.306289,-0.372556,2.118749
2010-04-07,-0.05291,0.689686,-0.500076,1.252936,-1.483973,1.477059,-0.424863,-0.681255,-0.764839,1.626757,-0.438511,1.020139,-0.645165,-0.846178,-0.281716
2010-04-08,0.014632,-0.634572,-0.36338,1.251473,-1.243316,0.65854,0.012104,-0.610775,1.809268,1.524501,-1.522653,-0.76322,0.122705,-0.076536,-0.164139
2010-04-09,0.080755,-1.029912,-1.078447,1.494134,2.054077,-0.898414,-0.070573,0.168155,-1.249633,-0.258257,0.943875,0.158353,-0.548151,0.700484,-0.385691
