Date,SPY_lead,SPY,JNJ,^IXIC
10/14/1993,0.005326314,0.012766034,0.012346032,0.008233343
10/15/1993,-0.002660294,0.005326314,0.012194623,0.002555917
10/18/1993,-0.007351471,-0.002660294,0.009050775,-0.005744044
10/19/1993,0.001341014,-0.007351471,-0.006024795,-0.018303899
10/20/1993,-0.001341014,0.001341014,0.017964595,-0.000598613
10/21/1993,-0.004704069,-0.001341014,0.01179941,0.003936309
10/22/1993,0.002691306,-0.004704069,-0.020741617,0.001813472
10/25/1993,-0.00067309,0.002691306,0.005970512,-0.003799195
10/26/1993,0.00067309,-0.00067309,-0.011976384,-0.005588798
10/27/1993,0.007364593,0.00067309,0.003008278,0.008352115
10/28/1993,0,0.007364593,0.002997593,0.002083625
10/29/1993,0.002664147,0,0.008942207,0.007432035
11/1/1993,-0.000664506,0.002664147,0.014728083,0.005770871
11/2/1993,-0.012731659,-0.000664506,0,0.002408459
11/3/1993,-0.010847148,-0.012731659,0,-0.016309716
11/4/1993,0.00476148,-0.010847148,-0.008810893,-0.02050771
11/5/1993,0.00135579,0.00476148,0.00588222,0.007538243
11/8/1993,0.000676275,0.00135579,0.011662289,0.0042114
11/9/1993,0.007421028,0.000676275,0.000233158,0.004726424
11/10/1993,-0.002691306,0.007421028,0.01447242,0.008613906
11/11/1993,0.004704069,-0.002691306,-0.008658038,0.003188703
11/12/1993,-0.000669419,0.004704069,0.005780452,0.000436408
11/15/1993,0.00468554,-0.000669419,0.00574644,-0.008854456
11/16/1993,-0.005358364,0.00468554,0.014225375,-0.00098438
11/17/1993,-0.002689903,-0.005358364,-0.00851051,-0.012164052
11/18/1993,-0.002021073,-0.002689903,0.014143796,-0.010575635
11/19/1993,-0.006092495,-0.002021073,0,-0.003692187
11/22/1993,0.00541624,-0.006092495,0.005602963,-0.018031076
11/23/1993,0.004043621,0.00541624,0.008344796,0.011704234
11/24/1993,0.00067309,0.004043621,-0.008344796,0.008480032
11/26/1993,-0.004040456,0.00067309,-0.014064994,0.002241309
11/29/1993,0.000673032,-0.004040456,0.002828744,-0.004421137
11/30/1993,0.001348041,0.000673032,-0.014225375,0.00378509
12/1/1993,0.002689903,0.001348041,0.008560018,0.012409569
12/2/1993,0.004021839,0.002689903,0.005665357,0.003815628
12/3/1993,0.00333967,0.004021839,0.011236249,0.007134754
12/6/1993,-0.000667436,0.00333967,0.013870062,-0.001464313
12/7/1993,0,-0.000667436,-0.005525267,-0.002259162
12/8/1993,-0.003340766,0,0.005525267,-0.001899458
12/9/1993,-0.002011064,-0.003340766,-0.025106312,-0.008369486
12/10/1993,0.006019266,-0.002011064,-0.017094229,-0.000985397
12/13/1993,-0.007361509,0.006019266,-0.011561164,-0.001341724
